Display Name ,Inventory Item: Frame Size ,Inventory Item: Wheel Size ,Inventory Item: Price Point ,Inventory Item: Web Category ,Current Quantity Available 
Merida 22 Matts J24  Black/Grey/Red,,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
Merida 22 Matts J24  Teal/Dark Teal,,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",2
Merida 22 Matts J24  Dark Blue /Red/Blue,,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
Merida 22 Matts J24 Lite  Anthracite /Pink,,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",2
Merida 22 Matts J24  Pink /Barbie Blue/Grey,,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",2
Merida 22 Matts J24 Lite  Matt Black /Green/White,,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
Silverback 21 Skid 24D Se Suspension UNI Charcoal /  Lime,,"24""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/24"" Wheel (125 - 148cm)",1
Pedal Copacabana Matt Black,,"26""",Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Norco 2021 Storm 4 29 MD Black/Charcoal,,"29""",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Norco 2021 Storm 5 29 MD Burnt Orange/Charcoal,,"29""",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Norco 21 Storm 3 29 LG Charcoal/Silver,,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Norco 21 Storm 3 29 MD Charcoal/Silver,,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Norco 21 Storm 1 29 LG Red/Red,,"29""",Bikes 1000 - 1500,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Norco 21 Fluid FS 3 29 LG Black/Charcoal,,"29""",Bikes 2000 - 3000,Root Catalog/Bikes/Mountain Bikes/Dual Suspension,1
Norco 21 Sight A2 29 LG Red/Silver,,"29""",Bikes 5000 - 7000,Root Catalog/Bikes/Mountain Bikes/Dual Suspension,1
Norco 21 XFR 3 SM Green/Black,,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Pedal Jet 2  Mint WMD,,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Jet 2  Mint WXS,,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Norco 21 Indie 4 MD Grey/Black,,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Norco 21 Search XR A1 LG Orange/Grey,,700c,Bikes 2000 - 3000,Root Catalog/Bikes/Road Bikes/Adventure Road,1
BMC21 Roadmachine Two Carbon White Red MD,,700c,Bikes 5000 - 7000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Silverback 21 Splash Comp 29 38cm Blue / Sky Blue,,"29"" / 27.5""",Bikes 0700 - 1000,,2
Norco 21 Storm 4 27 WXS Charcoal/Jade,,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 2021 Storm 5 27.5 XS Silver/Black,,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 2021 Storm 5 27.5 XXS Silver/Black,,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 21 Storm 5 27 WXS Ultraviolet/Pink,,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 21 Storm 5 27 WXXS Ultraviolet/Pink,,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 2021 Storm 4 27.5 XS Cavalry Blue/Black,,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 2021 Storm 5 27.5 XS Burnt Orange/Charcoal,,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 21 Storm 3 27 SM Charcoal/Silver,,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 21 Scene 2 XL Blue/Black,,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco 21 Scene VLT MD Green/Green,,"27.5"" (650b)",Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Pedal Ranger 3 Lilac Teal 13in,13in,"27.5"" (650b)",Bikes 0 - 0400,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Raptor Black Green 14in,14in,"27.5"" (650b)",Bikes 0 - 0400,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
