"Display Name ","Inventory Item: Size ","Inventory Item: Wheel Size ","Inventory Item: Price Point ","Inventory Item: Web Category ",Current Quantity Available
Norco Scene VLT 27.5 Black Silver 2020 MD,MD,,Bikes 3000 - 4000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Matts 6.5 V MD Red Black,MD,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",1
Merida21 Matts 6.5 V MD Black Green,MD,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",1
Norco 2021 Storm 4 29 MD Black/Charcoal,MD,"29""",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Norco 2021 Storm 5 29 MD Burnt Orange/Charcoal,MD,"29""",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Norco 21 Storm 3 29 MD Charcoal/Silver,MD,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Merida21 Big Nine 60 MD Matt Bronze Black,MD,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Merida21 Big Nine 20 MD Matt Anthracite Silver,MD,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Merida21 Big Nine 20 MD Matt Fog Green Moss Green,MD,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Silverback 21 Stride Comp 29 MD 42cm Grey/Gloss Lime,MD,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Merida21 Big Nine 300 MD Orange Black,MD,"29""",Bikes 1000 - 1500,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Pedal Pursuit 2 Metallic Blue 51cm,MD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Pedal Jet 2 Black 51cm,MD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Crossway 100 MD Glossy Black Matt Silver,MD,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 20 MD Silk Anthracite Grey Black,MD,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Norco 21 Indie 4 MD Grey/Black,MD,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
